                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.593,                 3.1117,                 2.3872,                  1.543,                0.55337,                0.36429,                0.42078,                0.20806,                 0.5295,                0.34244,                0.37571,                0.16841,                 1.9587,                 3.0867,                 2.4878,                  1.841,             0.00046661,             0.00046661,             0.00046661
                      2,                 1.1541,                 1.8347,                  1.197,                 1.1953,                0.55503,                0.51086,                0.51706,                0.28802,                0.52229,                0.48523,                0.46596,                0.23096,                 1.3313,                 2.8071,                 1.9648,                 1.3743,             0.00084959,             0.00084959,             0.00084959
                      3,                 1.1293,                 1.7005,                 1.0662,                 1.1791,                0.66592,                0.57149,                0.63143,                0.37192,                0.58197,                0.54621,                0.55801,                0.31593,                 1.0864,                 1.8392,                 1.3321,                 1.2355,              0.0011383,              0.0011383,              0.0011383
                      4,                  1.044,                 1.6172,                 1.0045,                 1.1445,                0.64965,                0.54582,                0.62284,                0.38155,                0.63431,                0.52743,                0.59672,                0.36087,                 1.0836,                 1.6267,                 1.3098,                 1.2267,              0.0010046,              0.0010046,              0.0010046
                      5,                 1.0519,                 1.5835,                0.98184,                 1.1265,                 0.6234,                   0.73,                 0.7106,                0.45984,                0.59428,                0.72095,                0.69437,                 0.4253,                 1.0719,                 1.5998,                 1.1231,                 1.1311,              0.0010046,              0.0010046,              0.0010046
                      6,                0.95879,                 1.4453,                0.89551,                 1.0836,                0.67015,                0.72959,                0.73655,                0.49054,                0.66341,                0.70732,                0.70721,                0.44748,                0.89148,                 1.4094,                0.94672,                 1.0474,             0.00086312,             0.00086312,             0.00086312
                      7,                0.89545,                 1.3596,                0.84358,                 1.0422,                0.67303,                0.77249,                0.76721,                 0.5222,                0.67207,                0.76183,                0.75145,                0.47577,                0.83324,                 1.3484,                0.89453,                0.99508,             0.00072164,             0.00072164,             0.00072164
                      8,                0.83355,                 1.2638,                0.79456,                 1.0118,                0.69154,                0.80106,                0.79054,                0.55536,                0.68099,                0.77211,                0.76908,                0.50744,                0.77756,                 1.2459,                0.84534,                0.96596,             0.00058017,             0.00058017,             0.00058017
                      9,                0.79199,                 1.1997,                0.75225,                0.99158,                0.66113,                0.84937,                0.79124,                 0.5534,                0.63994,                0.82351,                0.76432,                0.50038,                0.76005,                 1.2292,                0.86701,                0.95164,              0.0004387,              0.0004387,              0.0004387
                     10,                0.74054,                 1.1295,                0.72226,                0.97234,                0.68812,                0.80132,                0.77524,                0.54902,                0.67622,                0.76218,                0.74507,                0.49288,                0.77077,                 1.2252,                0.87645,                0.99056,             0.00029723,             0.00029723,             0.00029723
